Rk,Player,From,To,Tm,W,L,T,W-L%,Count
182,Cotton Davidson\DaviCo00,1960,1961,DTX,2,0,0,1.000,2
183,Lynn Dickey\DickLy00,1981,1983,GNB,1,1,0,.500,2
184,Vince Evans\EvanVi00,1980,1983,CHI,1,1,0,.500,2
185,Vince Ferragamo\FerrVi00,1980,1980,RAM,2,0,0,1.000,2
186,John Friesz\FrieJo00,1993,1996,SDG/SEA,2,0,0,1.000,2
187,Mike Glennon\GlenMi00,2013,2020,TAM/JAX,0,2,0,.000,2
188,Kent Graham\GrahKe00,1996,1998,ARI/NYG,2,0,0,1.000,2
189,Otto Graham*\GrahOt00,1953,1954,CLE,2,0,0,1.000,2
190,Robert Griffin III\GrifRo01,2012,2013,WAS,1,1,0,.500,2
191,Pat Haden\HadePa00,1977,1978,RAM,1,1,0,.500,2
192,Jim Hart\HartJi00,1967,1974,STL,2,0,0,1.000,2
193,Chad Henne\HennCh01,2012,2014,JAX,0,2,0,.000,2
194,Kelly Holcomb\HolcKe00,2002,2003,CLE,1,1,0,.500,2
195,Bert Jones\JoneBe00,1977,1980,BAL,2,0,0,1.000,2
196,Kevin Kolb\KolbKe00,2009,2011,ARI/PHI,2,0,0,1.000,2
197,Bob Lee\LeexBo00,1970,1971,MIN,2,0,0,1.000,2
198,Drew Lock\LockDr00,2020,2020,DEN,1,1,0,.500,2
199,Jake Locker\LockJa00,2012,2014,TEN,2,0,0,1.000,2
200,Archie Manning\MannAr00,1979,1980,NOR,1,1,0,.500,2
201,Matt Moore\MoorMa01,2009,2019,KAN/CAR,1,1,0,.500,2
202,Curtis Painter\PainCu00,2011,2011,IND,0,2,0,.000,2
203,Babe Parilli\PariBa00,1965,1966,BOS,2,0,0,1.000,2
204,Jim Plunkett\PlunJi00,1972,1977,NWE/SFO,1,1,0,.500,2
205,Brady Quinn\QuinBr00,2009,2009,CLE,0,2,0,.000,2
206,Warren Rabb\RabbWa00,1961,1962,BUF,1,1,0,.500,2
207,Patrick Ramsey\RamsPa00,2002,2003,WAS,2,0,0,1.000,2
208,Tim Rattay\RattTi00,2003,2004,SFO,2,0,0,1.000,2
209,Frank Ryan\RyanFr00,1962,1966,CLE,2,0,0,1.000,2
210,Dick Shiner\ShinDi00,1968,1969,PIT,0,1,1,.250,2
211,Trevor Siemian\SiemTr00,2016,2016,DEN,1,1,0,.500,2
212,Steve Spurrier\SpurSt00,1972,1975,SFO,2,0,0,1.000,2
213,Ken Stabler *\StabKe00,1973,1973,OAK,1,0,1,.750,2
214,Tyler Thigpen\ThigTy00,2008,2008,KAN,0,2,0,.000,2
215,Brandon Weeden\WeedBr00,2012,2012,CLE,0,2,0,.000,2
216,Brandon Allen\AlleBr00,2020,2020,CIN,1,0,0,1.000,1
217,Derek Anderson\AndeDe00,2008,2008,CLE,1,0,0,1.000,1
218,Pete Beathard\BeatPe00,1969,1969,HOU,1,0,0,1.000,1
219,Kyle Boller\BollKy00,2005,2005,BAL,1,0,0,1.000,1
220,Brooks Bollinger\BollBr00,2005,2005,NYJ,0,1,0,.000,1
221,Dieter Brock\BrocDi00,1985,1985,RAM,1,0,0,1.000,1
222,Dave Brown\BrowDa00,1995,1995,NYG,0,1,0,.000,1
223,Adrian Burk\BurkAd00,1952,1952,PHI,1,0,0,1.000,1
224,David Carr\CarrDa00,2004,2004,HOU,0,1,0,.000,1
225,Matt Cavanaugh\CavaMa00,1984,1984,SFO,1,0,0,1.000,1
226,Todd Collins\CollTo00,2007,2007,WAS,1,0,0,1.000,1
227,Greg Cook\CookGr00,1969,1969,CIN,0,0,1,.500,1
228,Austin Davis\DaviAu00,2014,2014,STL,0,1,0,.000,1
229,Al Dorow\DoroAl00,1960,1960,NYT,1,0,0,1.000,1
230,Trent Edwards\EdwaTr01,2008,2008,BUF,1,0,0,1.000,1
231,Craig Erickson\EricCr00,1994,1994,TAM,1,0,0,1.000,1
232,A.J. Feeley\FeelA.00,2006,2006,PHI,1,0,0,1.000,1
233,Jay Fiedler\FiedJa00,2001,2001,MIA,1,0,0,1.000,1
234,Glenn Foley\FoleGl00,1999,1999,SEA,1,0,0,1.000,1
235,Blaine Gabbert\GabbBl00,2012,2012,JAX,0,1,0,.000,1
236,Jason Garrett\GarrJa00,1998,1998,DAL,1,0,0,1.000,1
237,Bruce Gradkowski\GradBr00,2009,2009,OAK,1,0,0,1.000,1
238,Quinn Gray\GrayQu00,2007,2007,JAX,0,1,0,.000,1
239,Ralph Guglielmi\GuglRa00,1960,1960,WAS,0,0,1,.500,1
240,Joey Harrington\HarrJo00,2007,2007,ATL,0,1,0,.000,1
241,James Harris\HarrJa01,1974,1974,RAM,1,0,0,1.000,1
242,Dwayne Haskins\HaskDw00,2019,2019,WAS,0,1,0,.000,1
243,Mark Herrmann\HerrMa00,1985,1985,SDG,1,0,0,1.000,1
244,Tom Hodson\HodsTo00,1992,1992,NWE,0,1,0,.000,1
245,Gary Huff\HuffGa00,1974,1974,CHI,0,1,0,.000,1
246,Brett Hundley\HundBr00,2017,2017,GNB,1,0,0,1.000,1
247,Jalen Hurts\HurtJa00,2020,2020,PHI,0,1,0,.000,1
248,Danny Kanell\KaneDa00,1998,1998,NYG,1,0,0,1.000,1
249,Jeff Kemp\KempJe00,1986,1986,SFO,1,0,0,1.000,1
250,Cody Kessler\KessCo00,2016,2016,CLE,0,1,0,.000,1
251,Shaun King\KingSh00,2000,2000,TAM,1,0,0,1.000,1
252,David Klingler\KlinDa00,1994,1994,CIN,0,1,0,.000,1
253,Jeff Komlo\KomlJe00,1979,1979,DET,1,0,0,1.000,1
254,Greg Landry\LandGr00,1976,1976,DET,0,1,0,.000,1
255,Eddie LeBaron\LeBaEd00,1958,1958,WAS,1,0,0,1.000,1
